#不要报考太原师范学院#顶上去，坚持到高考结束 ?
"//@你好我是毛线热巴的专属无脸男:#太原师范回应 未发生暴力行为# #李梓瑶# #太师校园暴力# #太原师范学院#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"#太原# #李梓瑶# #太原师范回应 未发生暴力行为# #赵湘# #不要报考太原师范学院# #千万不要报考太原师范#,抱歉，此微博已被作者删除。查看帮助：网页链接"
"//@江宁杂志蛾://@言和的肥皂://@言和的肥皂 ://@不刮纸 :#太原师范学院校园暴力事件# #太原师范学院申明是假的# #不要报考太原师范学院# #正义网友与太原师范王芝芝通话录音# 就这么点了，渣浪一直在限，热度一直在降，热搜上不去。,热心网友提供了由@全然不同 代视频通话者发布的十分钟完整版本，大家可以全部听完再做评断@太原师范学院- 不出来解释下#太原师范学院##太原师范回应 未发生暴力行为# 湘北高中一年十班的微博视频 ???"
#欺凌未成年人获刑1年半#这个热搜出现的时间刚好……    #太原师范学院# 虽然不是未成年欺凌，但也是校园欺凌了#正义网友与太原师范王芝芝通话录音##太原师范校园暴力# 学校没有单方面处理的权利，虽然他有压热搜的权利  ?
#2019年高考注意事项#千万不要报考太原师范学院！！！！校园暴力试点学校！！山西公安无动于衷，微博下直接设置评论不可见！一边喊着扫黑除恶的口号，一边装死不作声！ ?
"强烈要求走刑事诉讼！#太原师范学院# #校园霸凌# #太原师范回应 未发生暴力行为#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#太原师范回应 未发生暴力行为##太原师范学院##不要报考太原师范学院# 所以就不处理了是吧。编了一个谎要更多的谎来兜住它。 ?
"//@言和的肥皂://@言和的肥皂 ://@不刮纸 :#太原师范学院校园暴力事件# #太原师范学院申明是假的# #不要报考太原师范学院# #正义网友与太原师范王芝芝通话录音# 就这么点了，渣浪一直在限，热度一直在降，热搜上不去。,热心网友提供了由@全然不同 代视频通话者发布的十分钟完整版本，大家可以全部听完再做评断@太原师范学院- 不出来解释下#太原师范学院##太原师范回应 未发生暴力行为# 湘北高中一年十班的微博视频 ???"
#太原师范学院#恶心巴拉 ?
#太原师范学院#洗不白了你 ?
#太原师范学院#辣鸡学校 ?
#不要报考太原师范学院#辣鸡 ?
#不要报考太原师范学院#辣鸡学校 ?
"希望学校能给一个合理的解释,不要像太原师范学院一样,消息石沉大海,被学校压下去息事宁人,也希望女生都能够好好保护自己,#天津身边事#【网友爆料：#高校老师深夜骚扰女学生#】天津财经大学珠江学院某老师深夜发消息骚扰女学生，称特别想见她，并流露出“约你”“上床”等字眼，第二天看到曝光信息后向女生道歉称说了胡话，并请求得到谅解。当事同学#Gloria-1996-# 表示：他已经不是一次两次骚扰女生了，忍无可忍！ ?"
"#太原师范学院# #太师校园暴力#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
“动手的没动手的都一样！”#太原师范回应 未发生暴力行为##太原师范学院##太原师范学院校园暴力#  太原师范回应女生遭校园暴力，你怎么看待其说辞？校园暴力为何难以根治？ ?
"大家复制带新话题！#太原師範學院校園暴力##正义网友与太原师范王芝芝通话录音##不要报考太原师范学院##瑶湘呼应# ???//@昵称改到一包火:#瑶湘呼应##太原师范学院##太原师范学院回应未发生暴力事件# #李梓瑶# #瑶湘呼应# #赵湘# 孩子们加油吧必须拿回属于自己的权利和尊严。 评论配图,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
"中国政府请彻查太原师范学院吧，还有当地的警察，现在不是打黑呢么,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
